City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,itaberai,-16.0203,-49.8103,30.46,40,82,1.79,BR,1696277386
238,fauske,67.2588,15.3918,8.02,94,100,2.26,NO,1696277446
239,inirida,3.8653,-67.9239,30.97,63,100,1.08,CO,1696277360
240,puerto quijarro,-17.7833,-57.7667,38.48,27,97,2.92,BO,1696277447
241,isangel,-19.55,169.2667,24.06,69,75,3.09,VU,1696277447
242,keene,42.9337,-72.2781,24.68,49,0,2.06,US,1696277447
243,niafunke,15.9322,-3.9906,36.95,25,94,2.01,ML,1696277447
244,jiayuguan,39.8167,98.3,13.43,37,100,1.94,CN,1696277447
245,taoudenni,22.6783,-3.9836,38.44,12,93,6.76,ML,1696277447
246,chinampa de gorostiza,21.3667,-97.7333,33.41,49,100,4.81,MX,1696277447
247,las heras,-46.5419,-68.9359,12.66,31,7,4.17,AR,1696277447
248,feodosiya,45.0333,35.3833,18.02,56,0,6.8,UA,1696277447
249,chibougamau,49.9168,-74.3659,19.88,68,100,6.44,CA,1696277365
250,lachhmangarh sikar,27.8167,75.0333,26.49,22,0,2.56,IN,1696277447
251,puerto colombia,10.9878,-74.9547,32.05,77,100,5.8,CO,1696277302
252,las tablas,7.7667,-80.2833,27.22,83,100,1.58,PA,1696277447
253,ketchikan,55.3422,-131.6461,12.99,94,100,6.69,US,1696277447
254,richards bay,-28.783,32.0377,18.37,57,0,6.68,ZA,1696277383
255,bodo,67.28,14.405,8.02,79,75,6.69,NO,1696277448
256,hirna,9.2167,41.1,18.05,48,3,2.74,ET,1696277448
257,tabas,33.5959,56.9244,25.89,14,6,1.57,IR,1696277448
258,ust-nera,64.5667,143.2,-1.55,81,31,0.89,RU,1696277348
259,rawalpindi,33.6007,73.0679,21.8,68,0,2.46,PK,1696277402
260,itoman,26.1247,127.6694,27.43,96,75,6.17,JP,1696277448
261,sur,22.5667,59.5289,29.87,55,21,3.17,OM,1696277448
262,agboville,5.928,-4.2132,23.72,97,76,1.65,CI,1696277448
263,waingapu,-9.6567,120.2641,24.6,84,4,2.8,ID,1696277448
264,balaklava,44.5,33.6,18.33,40,0,6.41,UA,1696277448
265,mugia,43.1041,-9.2179,20.51,93,100,3.83,ES,1696277448
266,alice springs,-23.7,133.8833,28.75,20,43,7.2,AU,1696277266
267,curaca,-8.9903,-39.9094,35.93,13,11,2.07,BR,1696277448
268,chonchi,-42.6128,-73.8092,10.56,80,100,0.63,CL,1696277271
269,al majaridah,19.1236,41.9111,31.28,40,0,0.68,SA,1696277449
